generation;fitness;w1;w2;w3;w4;w5;w6;w7;
1;7200.000000;0.740067;0.094910;0.321299;0.186826;0.292264;0.478449;0.588427;
1;18000.000000;0.902491;0.618693;0.834990;0.031287;0.956603;0.667099;0.099250;
1;18000.000000;0.902491;0.171027;0.834990;0.186826;0.292264;0.211440;0.848811;
1;18000.000000;0.655252;0.221992;0.574974;0.875897;0.455311;0.683975;0.099250;
1;30000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
1;25200.000000;0.379644;0.888304;0.708790;0.712987;0.359430;0.916611;0.792665;
1;30000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
1;30000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
1;30000.000000;0.027770;0.888304;0.708790;0.706117;0.359430;0.916611;0.653141;
1;25200.000000;0.379644;0.003769;0.808312;0.849421;0.219946;0.622723;0.792665;
1;22000.000000;0.926702;0.708490;0.241625;0.981228;0.138435;0.354107;0.214058;
1;22000.000000;0.926702;0.708490;0.438195;0.981228;0.342642;0.000000;0.214058;
1;7200.000000;0.386239;0.094910;0.321299;0.031287;0.747983;0.667099;0.588427;
1;18000.000000;0.902491;0.259118;0.834990;0.186826;0.292264;0.478449;0.099250;
1;7200.000000;0.902491;0.171027;0.834990;0.186826;0.292264;0.667099;0.933634;
1;18000.000000;0.740067;0.094910;0.321299;0.031287;0.747983;0.478449;0.099250;
1;25200.000000;0.106791;0.587492;0.426183;0.816008;0.932668;0.899986;0.998496;
1;30000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.891777;0.653141;
1;18000.000000;0.926702;0.171027;0.834990;0.186826;0.292264;0.478449;0.099250;
1;22000.000000;0.902491;1.000000;0.113852;0.981228;0.342642;0.354107;0.214058;
2;28000.000000;0.655252;0.221992;0.574974;0.875897;0.455311;0.891777;0.653141;
2;30000.000000;0.027770;0.003769;0.808312;0.849421;0.219946;0.683975;0.099250;
2;28000.000000;0.902491;0.171027;0.834990;0.186826;0.292264;0.211440;0.848811;
2;20200.000000;0.379644;0.888304;0.708790;0.712987;0.359430;0.916611;0.792665;
2;28000.000000;0.902491;0.171027;1.000000;0.186826;0.219946;0.891777;0.653141;
2;28000.000000;0.027770;0.003769;0.808312;0.849421;0.292264;0.211440;0.848811;
2;20200.000000;0.379644;0.888304;1.000000;0.712987;0.292264;0.916611;0.792665;
2;28000.000000;0.902491;0.171027;0.834990;0.186826;0.359430;0.211440;0.848811;
2;15200.000000;0.027770;0.294907;0.808312;0.849421;0.219946;0.916611;0.653141;
2;28000.000000;0.027770;0.888304;0.708790;0.706117;0.359430;0.891777;0.653141;
2;28000.000000;0.655252;0.221992;0.574974;0.875897;0.455311;0.891777;0.955160;
